Date_obs,MCDz,errMCDz,MCHz,errMCHz,TCHz,errTCHz,ABSNCHz,errABSNCHz,USFz,errUSFz,Brhdr.T_REC,Brhdr.Meanjzd,Brhdr.errjz,Brhdr.meanjzh,Brhdr.errmih,Brhdr.totusjh,Brhdr.errtui,Brhdr.absnjzh,Brhdr.errtai,Brhdr.usflux,Brhdr.errvf
2010.11.07_00:00:00_TAI,      0.48860105,      0.42851101,  -0.00019409433,   0.00058551136,      0.16323333,      0.49241505,       6.3561395,      0.49241505,   1.1149179e+20,   2.8683514e+18,2010.11.07_00:00:00_TAI,      0.14717588,     0.022835250,    0.0019484600,   0.00014419000,       1631.2910,      7.45800,      100.782,      7.45800,   3.2461400e+22,   7.7100590e+18
2010.11.07_00:12:00_TAI,      0.48375859,      0.41406509,   -0.0013315945,   0.00055003614,       1.1198709,      0.46258039,       6.2675676,      0.46258039,   1.0524032e+20,   2.7135714e+18,2010.11.07_00:12:00_TAI,      0.15947382,     0.022879590,    0.0019673400,   0.00014441000,       1616.8390,      7.45400,      101.550,      7.45400,   3.2405820e+22,   7.7071600e+18
2010.11.07_00:24:00_TAI,      0.60678582,      0.40410805,   -0.0014052056,   0.00053008863,       1.1817779,      0.44580454,       5.5790635,      0.44580454,   1.0480637e+20,   2.7113717e+18,2010.11.07_00:24:00_TAI,      0.19521242,     0.022821460,    0.0019006000,   0.00014285000,       1619.2760,      7.44700,      99.0840,      7.44700,   3.2500950e+22,   7.7527000e+18
2010.11.07_00:36:00_TAI,      0.42295899,      0.40763676,  -0.00094343531,   0.00052862853,      0.79342910,      0.44457659,       6.0977648,      0.44457659,   1.0149528e+20,   2.7356918e+18,2010.11.07_00:36:00_TAI,      0.17022979,     0.022702680,    0.0018067000,   0.00014357000,       1616.4870,      7.44300,      93.6550,      7.44300,   3.2509650e+22,   7.6497750e+18
2010.11.07_00:48:00_TAI,      0.59943772,      0.41986287,   -0.0011308163,   0.00051827424,      0.95101653,      0.43586863,       5.5261463,      0.43586863,   9.5046429e+19,   2.7728713e+18,2010.11.07_00:48:00_TAI,      0.17305969,     0.022889550,    0.0015735300,   0.00014547000,       1629.1050,      7.51200,      81.2590,      7.51200,   3.2428990e+22,   7.6707640e+18
2010.11.07_01:00:00_TAI,      0.48847512,      0.40365704,  -0.00097180733,   0.00053176922,      0.81728996,      0.44721792,       6.3672558,      0.44721792,   1.0841586e+20,   2.6645421e+18,2010.11.07_01:00:00_TAI,      0.19622740,     0.023072720,    0.0020939200,   0.00014764000,       1618.4730,      7.61900,      108.050,      7.61900,   3.2382500e+22,   7.6989340e+18
2010.11.07_01:12:00_TAI,      0.94781235,      0.37445795,  -0.00074743964,   0.00049443912,      0.62859674,      0.41582330,       5.9844020,      0.41582330,   1.0634932e+20,   2.4692654e+18,2010.11.07_01:12:00_TAI,      0.18162611,     0.023400180,    0.0021320900,   0.00014792000,       1611.8450,      7.60700,      109.649,      7.60700,   3.2248450e+22,   7.7715630e+18
2010.11.07_01:24:00_TAI,      0.39491943,      0.44293218,  -0.00081835350,   0.00051569229,      0.68823530,      0.43369722,       5.7943313,      0.43369722,   9.4090277e+19,   2.7137614e+18,2010.11.07_01:24:00_TAI,      0.19740263,     0.023686710,    0.0020141400,   0.00015164000,       1633.1860,      7.75900,      103.062,      7.75900,   3.2178980e+22,   7.8149040e+18
2010.11.07_01:36:00_TAI,     0.022258472,      0.41684908,  -0.00034271828,   0.00055747997,      0.28822607,      0.46884065,       6.1579485,      0.46884065,   1.0529238e+20,   2.6511623e+18,2010.11.07_01:36:00_TAI,      0.20858796,     0.023968480,    0.0022485600,   0.00015399000,       1634.9950,      7.82800,      114.306,      7.82800,   3.2097190e+22,   7.8396060e+18
2010.11.07_01:48:00_TAI,      0.41392060,      0.41022426,   0.00021503838,   0.00051633118,      0.18084728,      0.43423453,       4.7680793,      0.43423453,   1.0541620e+20,   2.7310622e+18,2010.11.07_01:48:00_TAI,      0.18403684,     0.024257840,    0.0020989000,   0.00015754000,       1653.6960,      7.95300,      105.954,      7.95300,   3.1930360e+22,   7.8628050e+18
2010.11.07_02:00:00_TAI,      0.64811945,      0.42430146,  -0.00026175687,   0.00058733707,      0.22013753,      0.49395047,       6.8246068,      0.49395047,   1.1112743e+20,   2.7951762e+18,2010.11.07_02:00:00_TAI,      0.17604235,     0.024755300,    0.0022596200,   0.00016179000,       1656.4440,      8.06000,      112.563,      8.06000,   3.1708280e+22,   7.8884700e+18
2010.11.07_02:12:00_TAI,      0.68137928,      0.40420768,   -0.0013392226,   0.00053091629,       1.1262862,      0.44650060,       5.9013742,      0.44650060,   1.0925531e+20,   2.6264847e+18,2010.11.07_02:12:00_TAI,      0.19072650,     0.025332640,    0.0021409900,   0.00016899000,       1667.0290,      8.32100,      105.418,      8.32100,   3.1614370e+22,   7.9500770e+18
2010.11.07_02:24:00_TAI,      0.44298709,      0.37537465,  -0.00067896503,   0.00050586953,      0.57100959,      0.42543627,       6.4460936,      0.42543627,   1.0434776e+20,   2.4366065e+18,2010.11.07_02:24:00_TAI,      0.16887270,     0.025435750,    0.0022975900,   0.00016859000,       1664.8900,      8.22300,      112.070,      8.22300,   3.1353910e+22,   7.8963260e+18
2010.11.07_02:36:00_TAI,      0.62799142,      0.40700092,  -0.00077714011,   0.00058381252,      0.65357484,      0.49098633,       6.3680475,      0.49098633,   1.2003715e+20,   2.7662907e+18,2010.11.07_02:36:00_TAI,      0.19373538,     0.025923400,    0.0023275200,   0.00017221000,       1673.3670,      8.30400,      112.238,      8.30400,   3.1211220e+22,   7.9602180e+18
2010.11.07_02:48:00_TAI,      0.19361951,      0.45871055,   -0.0013803830,   0.00060132208,       1.1609021,      0.50571187,       6.9667648,      0.50571187,   1.1580134e+20,   3.1318040e+18,2010.11.07_02:48:00_TAI,      0.19214803,     0.026369700,    0.0023637300,   0.00017751000,       1685.8990,      8.41300,      112.022,      8.41300,   3.0786670e+22,   7.9318390e+18
