Date_obs,MCDz,errMCDz,MCHz,errMCHz,TCHz,errTCHz,ABSNCHz,errABSNCHz,USFz,errUSFz,Brhdr.T_REC,Brhdr.Meanjzd,Brhdr.errjz,Brhdr.meanjzh,Brhdr.errmih,Brhdr.totusjh,Brhdr.errtui,Brhdr.absnjzh,Brhdr.errtai,Brhdr.usflux,Brhdr.errvf
2010.11.07_00:00:00_TAI,    -0.067986601,      0.14023883,   0.00028936921,   0.00018196986,       2.2920935,       1.4413833,       58.221377,       1.4413833,   9.8402533e+20,   8.6824567e+18,2010.11.07_00:00:00_TAI,      0.14717588,     0.022835250,    0.0019484600,   0.00014419000,       1631.2910,      7.45800,      100.782,      7.45800,   3.2461400e+22,   7.7100590e+18
2010.11.07_00:12:00_TAI,    -0.015438575,      0.13925184,   0.00029203856,   0.00017720724,       2.3132375,       1.4036585,       56.738467,       1.4036585,   9.6691822e+20,   8.5690119e+18,2010.11.07_00:12:00_TAI,      0.15947382,     0.022879590,    0.0019673400,   0.00014441000,       1616.8390,      7.45400,      101.550,      7.45400,   3.2405820e+22,   7.7071600e+18
2010.11.07_00:24:00_TAI,    -0.082606000,      0.13651645,   0.00017246659,   0.00017766695,       1.3661078,       1.4072999,       59.346334,       1.4072999,   9.6607084e+20,   8.4215897e+18,2010.11.07_00:24:00_TAI,      0.19521242,     0.022821460,    0.0019006000,   0.00014285000,       1619.2760,      7.44700,      99.0840,      7.44700,   3.2500950e+22,   7.7527000e+18
2010.11.07_00:36:00_TAI,    -0.021947506,      0.17119474,   0.00017752634,   0.00020589412,       1.4061861,       1.6308873,       56.416515,       1.6308873,   9.2199936e+20,   1.0503418e+19,2010.11.07_00:36:00_TAI,      0.17022979,     0.022702680,    0.0018067000,   0.00014357000,       1616.4870,      7.44300,      93.6550,      7.44300,   3.2509650e+22,   7.6497750e+18
2010.11.07_00:48:00_TAI,    -0.058315644,      0.13863835,   0.00051437679,   0.00018074298,       4.0743785,       1.4316652,       59.479391,       1.4316652,   9.6002039e+20,   8.5700304e+18,2010.11.07_00:48:00_TAI,      0.17305969,     0.022889550,    0.0015735300,   0.00014547000,       1629.1050,      7.51200,      81.2590,      7.51200,   3.2428990e+22,   7.6707640e+18
2010.11.07_01:00:00_TAI,    -0.062788257,      0.13787239,   0.00039451248,   0.00017737216,       3.1249334,       1.4049648,       59.409885,       1.4049648,   9.3752650e+20,   8.4199089e+18,2010.11.07_01:00:00_TAI,      0.19622740,     0.023072720,    0.0020939200,   0.00014764000,       1618.4730,      7.61900,      108.050,      7.61900,   3.2382500e+22,   7.6989340e+18
2010.11.07_01:12:00_TAI,    -0.095549689,      0.13471738,   0.00046106926,   0.00017218493,       3.6521296,       1.3638769,       57.774898,       1.3638769,   9.3036536e+20,   8.2235761e+18,2010.11.07_01:12:00_TAI,      0.18162611,     0.023400180,    0.0021320900,   0.00014792000,       1611.8450,      7.60700,      109.649,      7.60700,   3.2248450e+22,   7.7715630e+18
2010.11.07_01:24:00_TAI,   -0.0050447883,      0.13976146,   0.00015972348,   0.00017657844,       1.2651697,       1.3986778,       58.909466,       1.3986778,   9.2204466e+20,   8.4612051e+18,2010.11.07_01:24:00_TAI,      0.19740263,     0.023686710,    0.0020141400,   0.00015164000,       1633.1860,      7.75900,      103.062,      7.75900,   3.2178980e+22,   7.8149040e+18
2010.11.07_01:36:00_TAI,    -0.028852023,      0.13908075,   0.00052778597,   0.00017849190,       4.1805927,       1.4138344,       57.996021,       1.4138344,   9.3274220e+20,   8.4327634e+18,2010.11.07_01:36:00_TAI,      0.20858796,     0.023968480,    0.0022485600,   0.00015399000,       1634.9950,      7.82800,      114.306,      7.82800,   3.2097190e+22,   7.8396060e+18
2010.11.07_01:48:00_TAI,     0.035614705,      0.13677117,   0.00021098137,   0.00017231606,       1.6711835,       1.3649155,       56.031800,       1.3649155,   9.0812435e+20,   8.3206358e+18,2010.11.07_01:48:00_TAI,      0.18403684,     0.024257840,    0.0020989000,   0.00015754000,       1653.6960,      7.95300,      105.954,      7.95300,   3.1930360e+22,   7.8628050e+18
