Date,Hour,Car_lat,Car_lon,harpnum
20100723,120000,-20.8,219.4,92
20100818,013000,-26.9,203.1,135
20100821,144500,-25.6,197.2,135
20100915,141000,-20.2,214.5,175
20100916,090000,-20.4,214.5,175
20100917,001500,-20.2,214.2,175
20100917,034500,-18.6,199.7,175
20101010,200300,-20.3,202.6,211
20101011,090000,-21,216.3,211
20101015,094500,-24,235.8,211
20101016,193000,-19.4,212.1,211
20101017,040000,-9,198.1,211
20101017,090000,-18.5,205.8,211
20101110,142000,-20.8,190.8,245
20101110,164500,-21.5,191.5,245
20101111,021500,-23.4,189.5,245
20101111,051500,-21.7,202.6,245
20101111,073000,-24.1,190.8,245
20101111,101500,-23.5,189.2,245
20101111,131500,-24.5,191,245
20101111,161500,-21.6,189.8,245
20101112,193000,-24.3,191.6,245
20101112,014500,-23.9,188.8,245
20101112,040000,-21,189.9,245
20101112,081000,-23.6,192.5,245
20101112,091500,-23.9,189.5,245
20101112,114500,-20.5,190.2,245
20101112,134500,-21.6,189.6,245
20101112,134500,-21.5,205,245
20101113,020000,-20.1,191.5,245
20101113,093000,-21.9,193.8,245
20101113,114500,-22.2,189.6,245
20101113,141500,-23.3,195.9,245
20101114,000000,-22.9,194.8,245
20101114,031500,-21.2,194.6,245
20101114,173000,-21.8,190.8,245
