ID,Date,Time,Coordinates,Angular Width,Central Pos. Angle,Linear Speed,Mass,Potential Energy,Kinetic Energy,Mass estimation time
1,19/07/2010,09:16,(-21.7; 204.7),62,112,55,7.26E+13,1.58E+29,1.10E+27,21:30
2,20/07/2010,06:01,(-20.0; 220.7),18,118,133.1,1.83E+14,2.10E+29,1.62E+28,9:07
3,20/07/2010,09:31,(-22.7; 205.1),20,122,158.5,5.06E+13,6.28E+28,6.36E+27,11:30
4,23/07/2010,12:00,(-20.8; 219.4),28,113,164.2,6.71E+13,9.12E+28,9.05E+27,15:24
5,02/08/2010,16:30,(-25.6; 211.3),15,232.5,417.3,3.06E+14,4.68E+29,2.66E+29,20:24
6,05/08/2010,00:30,,43,248.5,611.3,6.39E+14,9.09E+29,1.19E+30,3:24
7,08/08/2010,00:05,,61,244.5,209.1,4.48E+15,7.16E+30,9.79E+29,17:54
8,10/08/2010,04:35,(-23.2; 211.1),40,100,402.5,1.10E+15,1.77E+30,8.91E+29,9:24
9,15/08/2010,05:50,(-27.0; 198.4),52,121,347.2,1.47E+15,2.09E+30,8.86E+29,8:24
10,18/08/2010,01:30,(-26.9; 203.1),17,130.5,170,3.93E+14,4.80E+29,5.68E+28,7:47
11,21/08/2010,14:45,(-25.6; 197.2),25,119.5,287.5,5.08E+14,7.78E+29,2.10E+29,20:39
12,23/08/2010,12:00,,21,127.5,243.5,1.18E+14,1.81E+29,3.50E+28,2:24
13,27/08/2010,11:30,(-25.4; 196.1),57,243.5,394.4,2.13E+15,2.88E+30,1.66E+30,12:09
14,28/08/2010,16:45,(-21.4; 216.9),43,261.5,268.5,7.05E+13,8.07E+28,2.54E+28,18:22
15,30/08/2010,04:15,(-18.7; 204.2),54,273,240.5,1.52E+13,1.89E+28,4.40E+27,5:46
16,30/08/2010,07:30,(-20.4; 207.8),25,257.5,334.8,2.57E+12,3.26E+27,1.44E+27,9:10
17,30/08/2010,14:20,(-20.0; 202.4),30,254,265.4,2.14E+13,2.31E+28,7.54E+27,16:10
