T_REC,USFLUX,MEANGAM,MEANGBT,MEANGBZ,MEANGBH,MEANJZD,TOTUSJZ,MEANALP,MEANJZH,TOTUSJH,ABSNJZH,SAVNCPP,MEANPOT,TOTPOT,MEANSHR,SHRGT45,ERRVF,ERRGAM,ERRBT,ERRBZ,ERRBH,ERRJZ,ERRUSI,ERRALP,ERRMIH,ERRUSI,ERRTAI,ERRJHT,ERRMPOT,ERRTPOT,ERRMSHA
2010.11.07_00:00:00_TAI,   3.2461400e+22,       30.404000,       91.095000,       93.763000,       37.902000,      0.14717588,   3.4918830e+13,    0.0066368200,    0.0019484600,       1631.2910,       100.78200,   3.9340210e+12,       2239.5050,   1.5383850e+23,       25.674000,       9.7170000,   7.7100590e+18,     0.016000000,     0.080000000,     0.081000000,     0.074000000,     0.022835250,   1.5686240e+11,   0.00049113000,   0.00014419000,   1.5686240e+11,       7.4580000,   6.1038790e+11,       2.0744170,   1.4249810e+20,       0.0000000
2010.11.07_00:12:00_TAI,   3.2405820e+22,       30.280000,       91.278000,       93.956000,       38.083000,      0.15947382,   3.4786780e+13,    0.0067080700,    0.0019673400,       1616.8390,       101.55000,   4.2541000e+12,       2214.4470,   1.5180540e+23,       25.589000,       9.3450000,   7.7071600e+18,     0.017000000,     0.080000000,     0.081000000,     0.074000000,     0.022879590,   1.5684480e+11,   0.00049238000,   0.00014441000,   1.5684480e+11,       7.4540000,   6.1033250e+11,       2.0724200,   1.4206910e+20,    0.0010000000
2010.11.07_00:24:00_TAI,   3.2500950e+22,       30.500000,       91.097000,       93.660000,       38.057000,      0.19521242,   3.5056490e+13,    0.0065514800,    0.0019006000,       1619.2760,       99.084000,   5.2595240e+12,       2219.3880,   1.5366210e+23,       25.783000,       9.4140000,   7.7527000e+18,     0.017000000,     0.080000000,     0.081000000,     0.074000000,     0.022821460,   1.5800720e+11,   0.00049242000,   0.00014285000,   1.5800720e+11,       7.4470000,   6.1486880e+11,       2.0520700,   1.4207760e+20,    0.0010000000
2010.11.07_00:36:00_TAI,   3.2509650e+22,       30.346000,       92.064000,       94.786000,       38.245000,      0.17022979,   3.4873380e+13,    0.0061819500,    0.0018067000,       1616.4870,       93.655000,   4.5607470e+12,       2236.0940,   1.5394870e+23,       25.661000,       9.3130000,   7.6497750e+18,     0.016000000,     0.080000000,     0.080000000,     0.074000000,     0.022702680,   1.5630140e+11,   0.00049127000,   0.00014357000,   1.5630140e+11,       7.4430000,   6.0824340e+11,       2.0773480,   1.4301950e+20,    0.0020000000
2010.11.07_00:48:00_TAI,   3.2428990e+22,       30.462000,       92.297000,       94.938000,       38.395000,      0.17305969,   3.5196470e+13,    0.0053649600,    0.0015735300,       1629.1050,       81.259000,   4.6189510e+12,       2266.8020,   1.5546680e+23,       25.786000,       9.7590000,   7.6707640e+18,     0.016000000,     0.080000000,     0.081000000,     0.074000000,     0.022889550,   1.5698610e+11,   0.00049598000,   0.00014547000,   1.5698610e+11,       7.5120000,   6.1092060e+11,       2.0928650,   1.4353740e+20,    0.0010000000
2010.11.07_01:00:00_TAI,   3.2382500e+22,       30.495000,       92.369000,       95.127000,       38.370000,      0.19622740,   3.4932880e+13,    0.0071416800,    0.0020939200,       1618.4730,       108.05000,   5.2332440e+12,       2275.2600,   1.5592290e+23,       25.772000,       9.7110000,   7.6989340e+18,     0.016000000,     0.081000000,     0.081000000,     0.075000000,     0.023072720,   1.5811670e+11,   0.00050355000,   0.00014764000,   1.5811670e+11,       7.6190000,   6.1533290e+11,       2.1368470,   1.4643750e+20,    0.0010000000
2010.11.07_01:12:00_TAI,   3.2248450e+22,       30.695000,       92.586000,       95.499000,       38.750000,      0.18162611,   3.5130170e+13,    0.0072737500,    0.0021320900,       1611.8450,       109.64900,   4.8276950e+12,       2330.8010,   1.5919360e+23,       25.969000,       9.8970000,   7.7715630e+18,     0.016000000,     0.082000000,     0.082000000,     0.076000000,     0.023400180,   1.5982320e+11,   0.00050463000,   0.00014792000,   1.5982320e+11,       7.6070000,   6.2198620e+11,       2.3441990,   1.6010870e+20,    0.0020000000
2010.11.07_01:24:00_TAI,   3.2178980e+22,       30.657000,       93.031000,       96.019000,       38.719000,      0.19740263,   3.5283310e+13,    0.0068316400,    0.0020141400,       1633.1860,       103.06200,   5.2206160e+12,       2332.6340,   1.5851340e+23,       25.952000,       9.9120000,   7.8149040e+18,     0.016000000,     0.082000000,     0.083000000,     0.077000000,     0.023686710,   1.6096230e+11,   0.00051433000,   0.00015164000,   1.6096230e+11,       7.7590000,   6.2643150e+11,       2.2490590,   1.5283410e+20,    0.0010000000
2010.11.07_01:36:00_TAI,   3.2097190e+22,       30.663000,       93.510000,       96.448000,       38.666000,      0.20858796,   3.5467060e+13,    0.0075757000,    0.0022485600,       1634.9950,       114.30600,   5.4807410e+12,       2405.1480,   1.6238060e+23,       26.152000,       10.130000,   7.8396060e+18,     0.017000000,     0.083000000,     0.084000000,     0.078000000,     0.023968480,   1.6182030e+11,   0.00051880000,   0.00015399000,   1.6182030e+11,       7.8280000,   6.2978250e+11,       2.4091310,   1.6264950e+20,       0.0000000
2010.11.07_01:48:00_TAI,   3.1930360e+22,       30.634000,       94.187000,       96.944000,       38.994000,      0.18403684,   3.6053950e+13,    0.0070469600,    0.0020989000,       1653.6960,       105.95400,   4.8019710e+12,       2416.2050,   1.6198800e+23,       26.010000,       10.025000,   7.8628050e+18,     0.017000000,     0.084000000,     0.084000000,     0.078000000,     0.024257840,   1.6263020e+11,   0.00052892000,   0.00015754000,   1.6263020e+11,       7.9530000,   6.3294640e+11,       2.3306320,   1.5625100e+20,    0.0010000000
